,country_code,country,item_code,item,year,origin,domestic_supply_quantity,export_quantity,fat_supply_quantity_gcapitaday,feed,food,food_supply_kcalcapitaday,food_supply_quantity_kgcapitayr,import_quantity,losses,other_uses,processing,production,protein_supply_quantity_gcapitaday,seed,stock_variation
0,1,Armenia,2511,Wheat and products,2013,vegetal,554000000.0,1000000.0,3.6,93000000.0,389000000.0,1024.0,130.6,361000000.0,32000000.0,0.0,10000000.0,312000000.0,30.52,30000000.0,-118000000.0
1,1,Armenia,2513,Barley and products,2013,vegetal,198000000.0,0.0,0.0,137000000.0,0.0,0.0,0.0,9000000.0,15000000.0,26000000.0,7000000.0,189000000.0,0.0,14000000.0,0.0
2,1,Armenia,2514,Maize and products,2013,vegetal,102000000.0,,,96000000.0,0.0,0.0,0.03,82000000.0,7000000.0,,,21000000.0,0.01,0.0,
3,1,Armenia,2515,Rye and products,2013,vegetal,1000000.0,,0.0,1000000.0,0.0,1.0,0.12,0.0,0.0,,,1000000.0,0.02,0.0,0.0
4,1,Armenia,2516,Oats,2013,vegetal,6000000.0,,0.03,4000000.0,1000000.0,2.0,0.37,1000000.0,0.0,,,5000000.0,0.09,0.0,
5,1,Armenia,2517,Millet and products,2013,vegetal,0.0,,,0.0,,,,0.0,,,,,,,
6,1,Armenia,2518,Sorghum and products,2013,vegetal,0.0,,,0.0,,,,0.0,,,,,,,
7,1,Armenia,2520,"Cereals, Other",2013,vegetal,21000000.0,0.0,0.04,1000000.0,6000000.0,14.0,1.96,4000000.0,1000000.0,12000000.0,,17000000.0,0.39,1000000.0,0.0
8,1,Armenia,2531,Potatoes and products,2013,vegetal,672000000.0,9000000.0,0.12,225000000.0,134000000.0,82.0,45.1,5000000.0,96000000.0,16000000.0,78000000.0,661000000.0,1.94,123000000.0,15000000.0
9,1,Armenia,2532,Cassava and products,2013,vegetal,0.0,,,0.0,,,,0.0,,,,,,,
10,1,Armenia,2534,"Roots, Other",2013,vegetal,0.0,,,0.0,,,,0.0,,,,,,,
11,1,Armenia,2537,Sugar beet,2013,vegetal,55000000.0,,,1000000.0,,,,0.0,,,54000000.0,55000000.0,,,
12,1,Armenia,2542,Sugar (Raw Equivalent),2013,vegetal,93000000.0,2000000.0,,,98000000.0,302.0,33.03,85000000.0,,0.0,,8000000.0,,,3000000.0
13,1,Armenia,2543,"Sweeteners, Other",2013,vegetal,5000000.0,0.0,,,5000000.0,18.0,1.82,2000000.0,,0.0,,2000000.0,,,2000000.0
14,1,Armenia,2546,Beans,2013,vegetal,5000000.0,,,5000000.0,,,,0.0,0.0,,,5000000.0,,0.0,
15,1,Armenia,2547,Peas,2013,vegetal,2000000.0,,,2000000.0,,,,2000000.0,,,,0.0,,,
16,1,Armenia,2549,"Pulses, Other and products",2013,vegetal,3000000.0,0.0,,3000000.0,0.0,0.0,0.0,3000000.0,0.0,,,0.0,0.0,,
17,1,Armenia,2551,Nuts and products,2013,vegetal,6000000.0,1000000.0,1.76,,6000000.0,18.0,2.15,2000000.0,0.0,,,5000000.0,0.42,,0.0
18,1,Armenia,2555,Soyabeans,2013,vegetal,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
19,1,Armenia,2556,Groundnuts (Shelled Eq),2013,vegetal,1000000.0,0.0,0.55,,1000000.0,6.0,0.4,1000000.0,,,,,0.29,,0.0
20,1,Armenia,2557,Sunflower seed,2013,vegetal,2000000.0,0.0,,0.0,,,,2000000.0,,,2000000.0,,,,0.0
21,1,Armenia,2558,Rape and Mustardseed,2013,vegetal,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,
22,1,Armenia,2560,Coconuts - Incl Copra,2013,vegetal,0.0,0.0,0.03,,0.0,0.0,0.08,0.0,,,,,0.0,,0.0
23,1,Armenia,2561,Sesame seed,2013,vegetal,0.0,,0.01,,0.0,0.0,0.01,0.0,,,,,0.0,,
24,1,Armenia,2563,Olives (including preserved),2013,vegetal,3000000.0,1000000.0,0.28,,3000000.0,3.0,0.92,4000000.0,,,,,0.03,,
25,1,Armenia,2570,"Oilcrops, Other",2013,vegetal,1000000.0,0.0,,1000000.0,0.0,0.0,0.0,1000000.0,,,,0.0,,,
26,1,Armenia,2571,Soyabean Oil,2013,vegetal,1000000.0,0.0,0.5,,1000000.0,4.0,0.18,1000000.0,,,,,,,0.0
27,1,Armenia,2572,Groundnut Oil,2013,vegetal,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,
28,1,Armenia,2573,Sunflowerseed Oil,2013,vegetal,30000000.0,0.0,24.38,,26000000.0,216.0,8.85,29000000.0,,3000000.0,,1000000.0,0.04,,0.0
29,1,Armenia,2574,Rape and Mustard Oil,2013,vegetal,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,
30,1,Armenia,2575,Cottonseed Oil,2013,vegetal,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
31,1,Armenia,2576,Palmkernel Oil,2013,vegetal,0.0,,0.02,,0.0,0.0,0.01,0.0,,,,,,,
32,1,Armenia,2577,Palm Oil,2013,vegetal,1000000.0,0.0,,,,,,1000000.0,,1000000.0,,,,,
33,1,Armenia,2578,Coconut Oil,2013,vegetal,1000000.0,,0.81,,1000000.0,7.0,0.3,1000000.0,,,,,,,
34,1,Armenia,2579,Sesameseed Oil,2013,vegetal,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,
35,1,Armenia,2580,Olive Oil,2013,vegetal,0.0,,0.09,,0.0,1.0,0.03,0.0,,0.0,,,,,
36,1,Armenia,2582,Maize Germ Oil,2013,vegetal,0.0,,0.39,,0.0,3.0,0.14,0.0,,,,,,,
37,1,Armenia,2586,"Oilcrops Oil, Other",2013,vegetal,2000000.0,0.0,0.02,,0.0,0.0,0.01,2000000.0,,2000000.0,0.0,,0.0,,0.0
38,1,Armenia,2601,Tomatoes and products,2013,vegetal,273000000.0,3000000.0,0.48,,262000000.0,41.0,88.1,0.0,11000000.0,,,276000000.0,1.94,,0.0
39,1,Armenia,2602,Onions,2013,vegetal,53000000.0,0.0,0.1,,52000000.0,15.0,17.57,7000000.0,0.0,,,45000000.0,0.53,,0.0
40,1,Armenia,2605,"Vegetables, Other",2013,vegetal,764000000.0,6000000.0,1.18,13000000.0,724000000.0,143.0,243.22,6000000.0,27000000.0,,,764000000.0,6.66,,0.0
41,1,Armenia,2611,"Oranges, Mandarines",2013,vegetal,14000000.0,1000000.0,0.01,,14000000.0,4.0,4.78,15000000.0,,,,,0.07,,0.0
42,1,Armenia,2612,"Lemons, Limes and products",2013,vegetal,1000000.0,,0.0,,1000000.0,0.0,0.31,1000000.0,,,,,0.01,,
43,1,Armenia,2613,Grapefruit and products,2013,vegetal,2000000.0,0.0,0.0,,2000000.0,0.0,0.52,2000000.0,,,,,0.0,,0.0
44,1,Armenia,2614,"Citrus, Other",2013,vegetal,1000000.0,0.0,0.0,,1000000.0,0.0,0.46,1000000.0,,,,,0.01,,
45,1,Armenia,2615,Bananas,2013,vegetal,2000000.0,0.0,0.01,,2000000.0,1.0,0.77,2000000.0,,,,,0.01,,
46,1,Armenia,2616,Plantains,2013,vegetal,8000000.0,,0.02,,8000000.0,5.0,2.55,8000000.0,,,,,0.06,,
47,1,Armenia,2617,Apples and products,2013,vegetal,107000000.0,6000000.0,0.2,19000000.0,74000000.0,33.0,24.79,2000000.0,8000000.0,,7000000.0,112000000.0,0.08,,0.0
48,1,Armenia,2618,Pineapples and products,2013,vegetal,0.0,0.0,,,0.0,0.0,0.16,1000000.0,,,,,0.0,,0.0
49,1,Armenia,2619,Dates,2013,vegetal,0.0,0.0,0.0,,0.0,1.0,0.15,0.0,,,,,0.01,,
50,1,Armenia,2620,Grapes and products (excl wine),2013,vegetal,235000000.0,9000000.0,0.13,,40000000.0,20.0,13.54,3000000.0,12000000.0,175000000.0,8000000.0,241000000.0,0.19,,0.0
51,1,Armenia,2625,"Fruits, Other",2013,vegetal,206000000.0,26000000.0,0.64,,187000000.0,76.0,62.84,6000000.0,19000000.0,,0.0,226000000.0,1.41,,0.0
52,1,Armenia,2630,Coffee and products,2013,vegetal,12000000.0,2000000.0,,,12000000.0,5.0,4.09,14000000.0,,,,,0.65,,
53,1,Armenia,2633,Cocoa Beans and products,2013,vegetal,7000000.0,0.0,3.42,,7000000.0,37.0,2.29,7000000.0,,,,,0.45,,
54,1,Armenia,2635,Tea (including mate),2013,vegetal,0.0,0.0,,,0.0,0.0,0.12,0.0,,,,,0.03,,
55,1,Armenia,2640,Pepper,2013,vegetal,0.0,0.0,0.0,,0.0,0.0,0.03,0.0,,,,,0.01,,0.0
56,1,Armenia,2641,Pimento,2013,vegetal,0.0,,0.01,,0.0,0.0,0.02,0.0,,,,,0.01,,
