Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2511","Wheat and products","2013","2013","1000 tonnes","5169","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5611","Import Quantity","2511","Wheat and products","2013","2013","1000 tonnes","1173","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5072","Stock Variation","2511","Wheat and products","2013","2013","1000 tonnes","-350","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5301","Domestic supply quantity","2511","Wheat and products","2013","2013","1000 tonnes","5992","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5527","Seed","2511","Wheat and products","2013","2013","1000 tonnes","322","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5123","Losses","2511","Wheat and products","2013","2013","1000 tonnes","775","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5142","Food","2511","Wheat and products","2013","2013","1000 tonnes","4895","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2013","2013","kg","160.23","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","664","Food supply (kcal/capita/day)","2511","Wheat and products","2013","2013","kcal/capita/day","1369","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2013","2013","g/capita/day","36.91","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2013","2013","g/capita/day","4.69","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","342","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5611","Import Quantity","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","119","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5301","Domestic supply quantity","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","461","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5527","Seed","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","14","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5123","Losses","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","24","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5142","Food","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","422","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2805","Rice (Milled Equivalent)","2013","2013","kg","13.82","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","664","Food supply (kcal/capita/day)","2805","Rice (Milled Equivalent)","2013","2013","kcal/capita/day","141","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2805","Rice (Milled Equivalent)","2013","2013","g/capita/day","2.7","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2805","Rice (Milled Equivalent)","2013","2013","g/capita/day","0.27","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2513","Barley and products","2013","2013","1000 tonnes","514","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5611","Import Quantity","2513","Barley and products","2013","2013","1000 tonnes","10","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5072","Stock Variation","2513","Barley and products","2013","2013","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5301","Domestic supply quantity","2513","Barley and products","2013","2013","1000 tonnes","524","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5521","Feed","2513","Barley and products","2013","2013","1000 tonnes","360","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5527","Seed","2513","Barley and products","2013","2013","1000 tonnes","22","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5123","Losses","2513","Barley and products","2013","2013","1000 tonnes","52","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5142","Food","2513","Barley and products","2013","2013","1000 tonnes","89","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2013","2013","kg","2.92","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","664","Food supply (kcal/capita/day)","2513","Barley and products","2013","2013","kcal/capita/day","26","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2513","Barley and products","2013","2013","g/capita/day","0.79","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2513","Barley and products","2013","2013","g/capita/day","0.24","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2514","Maize and products","2013","2013","1000 tonnes","312","S","Standardized data"
